school_name,area,address,level,bus,AddmissionLast Date
Singapore Chinese Girls' Primary School,North,"60 Dunearn Road, Novena, S(309434)",Primary,66;105;132;151;153;154;156;170;67;171;186;190;700;960;605,
,,,,,
Tanjong Katong Primary SCHOOL,East,"860 New Upper Changi Road, Marine Parade, S(467353)",Primary,10;12;14;32;40;608;16;196;197;31;36;76;135,
,,,,,
,,,,,
Bedok Green Secondary School,East,"360 Bedok North Ave 3, Bedok, S(469722)",Secondary,506;228;222;168;66;67;69;28;14;17,
,,,,,
St. Patrick'S School,East,"490 East Coast Road, Bedok, S(429058)",Secondary,10;12;13;14;16;31;32;36;40;48;55;76;155;135;196;197,
,,,,,
Anchor Green Primary School,North,"31 Anchorvale Drive, Seng Kang, S(544969)",Primary,163;372,
Wellington Primary School,North,"10 Wellington Circle, Sembawang, S(757702)",Primary,980;856;859,
Singapore Sports School,North,"1 Champions Way, Woodlands, S(737913)",Mixed Level,900A;901,
Anderson Primary School,North,"19 Ang Mo Kio Ave 9, Ang Mo Kio, S(569785)",Primary,265;268,
,,,,,
,,,,,
,,,,,
Bukit Panjang Primary School,West,"109 Cashew Road, Bukit Panjang, S(679676)",Primary,75;184,
Seng Kang Secondary School,North,"10 Compassvale Lane, Seng Kang, S(545090)",Secondary,27;80;85;86;87;89;89E;163;163M;372,
,,,,,
,,,,,
Chij Secondary (Toa Payoh),South,"626 Lorong 1 Toa Payoh, Toa Payoh, S(319764)",Secondary,59;141;231,
,,,,,
Meridian Secondary School,East,"31 Pasir Ris Street 51, Pasir Ris, S(518901)",Secondary,39;53;81;89;109;359;403;518,
,,,,,
,,,,,
,,,,,
,,,,,
Innova Primary School,North,"80 Woodlands Drive 17, Woodlands, S(737888)",Primary,900A;7;4;901,
Compassvale Primary School,North,"21 Compassvale St, Seng Kang, S(545091)",Primary,83;27;89;89E;965,
Chua Chu Kang Secondary School,West,"3 Teck Whye Crescent, Choa Chu Kang, S(688845)",Secondary,190;307;975;982E;985,
Paya Lebar Methodist Girls' School (Secondary),East,"296 Lor Ah Soo, Hougang, S(536742)",Secondary,45;53;53M;62;113,
,,,,,
,,,,,
TEMASEK SECONDARY SCHOOL,East,"600 Upper East Coast Road, Bedok, S(465561)",Secondary,10;10E;13;14;25;43;46;229;506;531;853,
,,,,,
,,,,,
Ngee Ann Primary School,East,"344 Marine Terrace, Marine Parade, S(449149)",Primary,13;16;31;36;55;608;197;196;135,
Maris Stella High School,North,"25 Mount Vernon Road, Toa Payoh, S(368051)",Mixed Level,28;93;100;135;155;158,
Yusof Ishak Secondary School,West,"11 Bukit Batok Street 25, Bukit Batok, S(658712)",Secondary,61;66;77;106;157;174;178;506;852;963,
Eunoia Junior College,North,"53 Mount Sinai Road, Bishan, S(276880)",Junior College,92;100;105;106;111;147;185,
,,,,,
Raffles Institution,South,"1 Raffles Institution Lane, Bishan, S(575954)",Mixed Level,410;13;50;52;53;54;55;56;57;58;59;74;88;93;128;130;132;156;157;162;163;165;166;167;851;852;855;980,
    hougang primary school,North,"1 Hougang St 93, Hougang, S(534238)",Primary,43;72;88;101;109;116;156;159;325,
,,,,,
CORAL PRIMARY SCHOOL,East,"20 Pasir Ris St 51, Pasir Ris, S(518902)",Primary,359;53;81,
,,,,,
Northland Secondary School,North,"3 Yishun Street 22, Yishun, S(768578)",Secondary,811;804;800,
,,,,,
,,,,,
Bartley Secondary School,South,"10 Jalan Bunga Rampai, Toa Payoh, S(538403)",Secondary,22;24;28;43;58;62;70;70M;76;80;80A;93;158,
Tampines North Primary School,East,"30 Tampines Avenue 9, Tampines, S(529565)",Primary,28;29;293,
,,,,,
,,,,,
,,,,,
Nanyang Primary School,West,"52 King'S Road, Bukit Timah, S(268097)",Primary,66;67;74;93;151;153;154;156;157;165;170;171;174;186;852;855;961,
,,,,,
Guangyang Primary School,South,"6 Bishan Street 12, Bishan, S(579806)",Primary,13;52;54;55;56;57;59;88;93;156;157;163;410,
,,,,,
,,,,,
,,,,,
Xingnan Primary School,West,"5 Jurong West Street 91, Jurong West, S(649036)",Primary,99;241,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Fajar Secondary School,West,"31 Gangsa Road, Bukit Panjang, S(678972)",Secondary,67;75;170;171;176;177;178;960;961;961C;963;963E;963R;970;979;979M,
,,,,,
Townsville Primary School,South,"3 Ang Mo Kio Ave 10, Ang Mo Kio, S(569730)",Primary,45;50;55;261;548;22;24;128;135;159;162;162M;262;853,
,,,,,
Concord Primary School,West,"3 Choa Chu Kang Ave 4, Choa Chu Kang, S(689814)",Primary,300,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Kuo Chuan Presbyterian Secondary School,South,"10 Bishan Street 13, Bishan, S(579795)",Secondary,53;54;56;410G;410W,
Yio Chu Kang Secondary School,North,"3063 Ang Mo Kio Avenue 5, Ang Mo Kio, S(569868)",Secondary,13;45;86;138;162;269;851;852;853,
,,,,,
,,,,,
,,,,,
Qihua Primary School,North,"5 Woodlands Street 81, Woodlands, S(738525)",Primary,911,
,,,,,
White Sands Primary School,East,"2 Pasir Ris St 11, Pasir Ris, S(519075)",Primary,12;17;21;39;53;81;518;109,
Jurong West Secondary School,West,"61 Jurong West Street 65, Jurong West, S(648348)",Secondary,30;154;157;180;187;198;242,
St. Margaret'S Primary School,South,"99 Wilkie Road, Central, S(228091)",Primary,64;65;65M;85;97;103;111;131;139,
Fairfield Methodist School (Primary),South,"100 Dover Road, Queenstown, S(139648)",Primary,14;33;74;166;196,
Nan Chiau High School,North,"20 Anchorvale Link, Seng Kang, S(545079)",Secondary,43;83;85;109;156;159;161;163;372,
Qifa Primary School,West,"50 West Coast Avenue, Clementi, S(128104)",Primary,30;51;78;143;285,
Fengshan Primary School,East,"307 Bedok North Road, Bedok, S(469680)",Primary,18;228;222;17;69;66;67;168;28;506;14;45,
,,,,,
             Changkat Primary SCHOol,East,"11 Simei St 3, Tampines, S(529896)",Primary,9;38;5,
Methodist Girls' School (Secondary),West,"11 Blackmore Drive, Bukit Timah, S(599986)",Secondary,66;67;74;77;151;154;156;157;170;171;174;563;852;961;961C;970,
,,,,,
Pasir Ris Crest Secondary School,East,"11 Pasir Ris Street 41, Pasir Ris, S(518934)",Secondary,358;17;81;12;3,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
West View Primary School,West,"31 Senja Road, Bukit Panjang, S(677742)",Primary,170;171;176;178;180,
Chij St. Nicholas Girls' School,North,"501 Ang Mo Kio Street 13, Ang Mo Kio, S(569405)",Mixed Level,76;265;268;269,
,,,,,
    opera estate primary school,East,"48 Fidelio Street, Bedok, S(458436)",Primary,42,
Dazhong Primary School,West,"35 Bukit Batok Street 31, Bukit Batok, S(659441)",Primary,187;188,
Westwood Primary School,West,"1 Jurong West Street 73, Jurong West, S(649188)",Primary,181;502;243,
,,,,,
Anglo-Chinese School (Barker Road),South,"60 Barker Road, Novena, S(309919)",Secondary,48;66;67;170;171;700;960,
Poi Ching School,East,"21 Tampines Street 71, Tampines, S(529067)",Primary,293;72;27;168,
,,,,,
New Town Primary School,South,"300 Tanglin Halt Road, Queenstown, S(148812)",Primary,32;100;105;111;145;147;195;196;198;855,
,,,,,
,,,,,
,,,,,
,,,,,
Manjusri Secondary School,East,"20 Ubi Avenue 1, Geylang, S(408940)",Secondary,5;8;15;22;25;45;51;55;59;61;63;63M;65;66;93;94;854,
    pioneer junior college,West,"21 Teck Whye Walk, Choa Chu Kang, S(688258)",Junior College,975;190;985,
,,,,,
,,,,,
Spectra Secondary School,North,"1 Woodlands Drive 64, Woodlands, S(737758)",Secondary,904;912;913;962;964;965;969,
Jurong Junior College,West,"800 Corporation Road, Jurong West, S(649809)",Junior College,99;157;185;198;507;NR5;502;625;174;174M,
,,,,,
,,,,,
,,,,,
St. Margaret'S Secondary School,South,"111 Farrer Road, Bukit Timah, S(259240)",Secondary,48;93;153;165;174;186;855;961,
St. Anthony'S Canossian Primary School,East,"1602 Bedok North Ave 4, Bedok, S(469701)",Primary,17,
,,,,,
,,,,,
,,,,,
Xinghua Primary School,South,"45 Hougang Avenue 1, Hougang, S(538882)",Primary,53;62;112;113;115,
,,,,,
,,,,,
Whitley Secondary School,South,"30 Bishan Street 24, Bishan, S(579747)",Secondary,13;52;54;74;74E;88;162;162M;588;410;851;852,
Bedok South Secondary School,East,"1 Jalan Langgar Bedok, Bedok, S(468585)",Secondary,10;14;45,
,,,,,
Canberra Secondary School,North,"51 Sembawang Drive, Sembawang, S(757699)",Secondary,859;962,
North Spring Primary School,North,"1 Rivervale Street, Seng Kang, S(545088)",Primary,82;85;86;88;119;136;163;372,
Broadrick Secondary School,East,"61 Dakota Crescent, Geylang, S(399935)",Secondary,10;16;30;31;32;33,
Springdale Primary School,East,"71 Anchorvale Link, Seng Kang, S(544799)",Primary,85;372;2,
,,,,,
,,,,,
,,,,,
,,,,,
North Vista Primary School,North,"20 Compassvale Link, Seng Kang, S(544974)",Primary,,
,,,,,
,,,,,
,,,,,
Temasek Primary School,East,"501 Bedok South Ave 3, Bedok, S(469300)",Primary,229;10;14;13;48;43;506,
,,,,,
Xinmin Secondary School,North,"11 Hougang Avenue 8, Hougang, S(538789)",Secondary,25;55;70;72;73;74;88;101;103;112;132;147;156;159;161;165;315;854,
Teck Ghee Primary School,South,"1 Ang Mo Kio Street 32, Ang Mo Kio, S(569299)",Primary,22;24;135;853;162;262;159,
Yishun Secondary School,North,"4 Yishun Street 71, Yishun, S(768516)",Secondary,167;169;171;800;811;812;856;858;859;969;980,
Woodlands Secondary School,North,"11 Marsiling Road, Woodlands, S(739111)",Secondary,913;913E;178;856;903,
Outram Secondary School,South,"3 York Hill, Central, S(168622)",Secondary,174;123;16;175;195;33;5;63;75;851;970;186;51;64,
Queenstown Primary School,South,"310 Margaret Dr, Queenstown, S(149303)",Primary,32;111;145;195,
West Grove Primary School,West,"1 Jurong West St 72, Jurong West, S(649223)",Primary,99;242,
,,,,,
,,,,,
Crest Secondary School,West,"561 Jurong East Street 24, Jurong East, S(609561)",Secondary,52;98;98M;105;176;183;187;188;188R;333;502,
East View Primary School,East,"4 Tampines Street 91, Tampines, S(528907)",Primary,6;8;10;15;18;21;22;23;27;28;31,
,,,,,
,,,,,
Westwood Secondary School,West,"11 Jurong West Street 25, Jurong West, S(648350)",Secondary,172;181;185;199,
Riverside Secondary School,North,"3 Woodlands Street 81, Woodlands, S(738524)",Secondary,858;900;911;913;964;962;965;969;169;903,
,,,,,
,,,,,
Junyuan Primary School,East,"2 Tampines Street 91, Tampines, S(528906)",Primary,5;8;10;15;18;21;22;23;27;28;31;34;39;59;65;67;168;292;293,
,,,,,
,,,,,
Riverside Primary School,North,"110 Woodlands Crescent, Woodlands, S(737803)",Primary,913;964,
Gongshang Primary School,East,"1 Tampines Street 42, Tampines, S(529176)",Primary,8;18;21;38;81,
,,,,,
Peicai Secondary School,South,"10 Serangoon Avenue 4, Serangoon, S(556094)",Secondary,22;24;43;53;70;76;103;109;116;147;156;315;317;853,
Temasek Primary School,East,"501 Bedok South Ave 3, Bedok, S(469300)",Primary,229;10;14;13;48;43;506,
Dunearn Secondary School,West,"21 Bukit Batok West Avenue 2, Bukit Batok, S(659204)",Secondary,30;154;157;172;174;174E;178;180;187;198,
,,,,,
,,,,,
,,,,,
Holy Innocents' High School,South,"1191 Upper Serangoon Road, Hougang, S(534786)",Secondary,27;72;74;80;87;89;101;107;113;116;119;132;136;147;153;161;165;324;325,
,,,,,
Hua Yi Secondary School,West,"60 Jurong West St 42, Jurong West, S(649371)",Secondary,98;98A;99;157;187;198;334;335;502,
,,,,,
Fuchun Secondary School,North,"21 Woodlands Avenue 1, Woodlands, S(739062)",Secondary,187;856;912;925;926;950;960;961;963;966,
,,,,,
Zhangde Primary School,South,"51 Jalan Membina, Bukit Merah, S(169485)",Primary,16;33;63;123;195;605;851;14;65;147;167;196;197;961,
Paya Lebar Methodist Girls' School (Primary),East,"298 Lorong Ah Soo, Hougang, S(536741)",Primary,53;62;113;45,
Naval Base Primary School,North,"7 Yishun Ave 4, Yishun, S(769028)",Primary,811,
,,,,,
,,,,,
Greenridge Secondary School,West,"32 Bukit Panjang Ring Road, Bukit Panjang, S(679938)",Secondary,722;920;922;971E;972,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
    yuhua secondary school,West,"35 Jurong West Street 41, Jurong West, S(649406)",Secondary,49;98;99;157;185;187;198;335;502,
Canossa Convent Primary School,East,"1 Sallim Road, Geylang, S(387621)",Primary,61;62;64;65;66;100;135;155;154,
,,,,,
Yumin Primary School,East,"3 Tampines Street 21, Tampines, S(529393)",Primary,,
Canossa Convent Primary School,East,"1 Sallim Road, Geylang, S(387621)",Primary,61;62;64;65;66;100;135;155;154,
Rosyth School,North,"21 Serangoon North Avenue 4, Serangoon, S(555855)",Primary,73;315;116,
Chung Cheng High School (Main),East,"50 Goodman Road, Marine Parade, S(439012)",Secondary,10;12;14;16;30;31;32;33;40;43;135;134;196;197,
Raffles Girls' School (Secondary),South,"20 Anderson Road, Central, S(259978)",Secondary,105;132;190;972,
,,,,,
Montfort Junior School,North,"52 Hougang Avenue 8, Hougang, S(538786)",Primary,74;88;101;147;161,
Unity Primary School,West,"21 Choa Chu Kang Crescent, Choa Chu Kang, S(688268)",Primary,302,
,,,,,
Sengkang Green Primary SCHOOL,East,"15 Fernvale Road, Seng Kang, S(797636)",Primary,163;70;86;103;854;50,
,,,,,
Crescent Girls' School,South,"357 Tanglin Road, Bukit Merah, S(247961)",Secondary,32;111;122;132;51;139;186;970,
Xinmin Primary School,North,"9 Hougang Avenue 8, Hougang, S(538784)",Primary,74;147;165;112,
East Spring Secondary School,East,"30 Tampines Street 34, Tampines, S(529231)",Secondary,3;4;9;12;17;19;21;28;29;34;37;39;59;81;291;518,
,,,,,
Junyuan Secondary School,East,"11 Tampines Street 84, Tampines, S(528933)",Secondary,69;291;293,
Woodlands Ring Primary School,North,"11 Woodlands Ring Road, Woodlands, S(738240)",Primary,912,
Punggol View Primary SCHOOL,East,"9 Punggol Place, Punggol, S(828845)",Primary,"50,382",
,,,,,
Montfort Secondary School,North,"50 Hougang Avenue 8, Hougang, S(538785)",Secondary,74;74E;88;101;147;147A;161,
,,,,,
Rulang Primary School,West,"6 Jurong West Street 52, Jurong West, S(649295)",Primary,335,
Greendale Primary School,North,"50 Edgedale Plains, Punggol, S(828848)",Primary,3;62;83;85;389,
Ang Mo Kio Secondary School,South,"6 Ang Mo Kio Street 22, Ang Mo Kio, S(569362)",Secondary,13;74;76;88;130;132;133;136;165;169;265;268;269;851;852,
,,,,,
Temasek Junior College,East,"22 Bedok South Road, Bedok, S(469278)",Mixed Level,12;16;31;38;47;155;196;197;229,
,,,,,
,,,,,
Frontier Primary School,West,"20 Jurong West Street 61, Jurong West, S(648200)",Primary,241,
Regent Secondary School,West,"50 Choa Chu Kang North 5, Choa Chu Kang, S(689621)",Secondary,307;301;302;160;170;178;925;927;960;983;961,
,,,,,
Yishun Junior College,North,"3 Yishun Ring Road, Yishun, S(768675)",Junior College,800;812;167;169;171;980,
Pei Hwa Secondary School,North,"21 Fernvale Link, Seng Kang, S(797702)",Secondary,50;70;86;103;163;854,
Nan Chiau Primary School,North,"50 Anchorvale Link, Seng Kang, S(545080)",Primary,156;159;161;371;372,
,,,,,
CLEMENTI TOWN SECONDARY SCHOOL,West,"10 Clementi Ave 3, Clementi, S(129904)",Secondary,14;105;106;147;156;165;166;173;175;184;196;282;284;285;7;96;99,
,,,,,
,,,,,
Bukit Timah Primary School,West,"111 Lorong Kismis, Bukit Timah, S(598112)",Primary,173,
Serangoon Junior College,North,"1033 Upper Serangoon Road, Hougang, S(534768)",Junior College,25;55;80;81;82;85;97;101;107;111;112;113;119;132;136;153,
St. Hilda'S Primary School,East,"2 Tampines Ave 3, Tampines, S(529706)",Primary,293,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Woodgrove Secondary School,North,"3 Woodlands Avenue 6, Woodlands, S(738990)",Secondary,900;901,
Methodist Girls' School (Primary),West,"11 Blackmore Drive, Bukit Timah, S(599986)",Primary,66;67;74;151;154;157;170;171;174,
Hillgrove Secondary School,West,"10 Bukit Batok Street 52, Bukit Batok, S(659250)",Secondary,176;985;945,
,,,,,
Beacon Primary School,West,"36 Bukit Panjang Ring Road, Bukit Panjang, S(679944)",Primary,920;922,
Fairfield Methodist School (Secondary),South,"102 Dover Road, Queenstown, S(139649)",Secondary,33;14;74;166;196,
Ahmad Ibrahim Secondary School,North,"751 Yishun Avenue 7, Yishun, S(768928)",Secondary,980;167;169;800;811;812;965;969;858;856;859,
Mee Toh School,North,"21 Edgedale Plains, Punggol, S(828867)",Primary,3;62;83,
Loyang Primary School,East,"3 Pasir Ris Drive 6, Pasir Ris, S(519419)",Primary,12;21;358,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Damai Secondary School,East,"4800 Bedok Reservoir Road, Bedok, S(479229)",Secondary,5;21;22;59;65;66;228;506;CT18,
,,,,,
Assumption Pathway School,West,"30 Cashew Road, Bukit Panjang, S(679697)",Secondary,170;67;75;171;176;178;184;961;963;970,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Northland Primary School,North,"15 Yishun Avenue 4, Yishun, S(769026)",Primary,812;171,
Innova Junior COLLEGE,North,"21 Champions Way, Woodlands, S(737902)",Junior College,161;168;901;900A,
,,,,,
Greendale Secondary School,North,"51 Edgedale Plains, Punggol, S(828866)",Secondary,3;62;83;85;136;386,
,,,,,
Bedok View Secondary School,East,"6 Bedok South Avenue 3, Bedok, S(469293)",Secondary,2;9;12;14;24;25;31;35;38;45;46;47;48;506;545,
Deyi Secondary School,North,"1 Ang Mo Kio Street 42, Ang Mo Kio, S(569277)",Secondary,22;24;25;73;74;76;88;132;135;159;162;165;261;262;268;853,
,,,,,
,,,,,
Elias Park Primary School,East,"11 Pasir Ris Street 52, Pasir Ris, S(518866)",Primary,3;15;39;53;81;88;89;357;403;518,
,,,,,
,,,,,
,,,,,
Seng Kang Primary School,North,"21 Compassvale Walk, Seng Kang, S(545166)",Primary,27;80;82;83;86;87;88;89;119;156;163;371;372;965,
SI LING PRIMARY SCHOOL,North,"61 Woodlands Avenue 1, Woodlands, S(739067)",Primary,912,
,,,,,
Yuying Secondary School,South,"47 Hougang Avenue 1, Hougang, S(538884)",Secondary,25;51;53;55;62;87;113;119;151;854,
Tanjong Katong Girls' School,East,"2 Bedok South Road, Marine Parade, S(469268)",Secondary,2;7;16;24;25;28;30;30E;31;32;33;38;40;67;196;197;222;229;401;854,
"School Of Science And Technology, Singapore",West,"1 Technology Drive, Clementi, S(138572)",Secondary,14;74;105;106;147;166,
,,,,,
Orchid Park Secondary School,North,"10 Yishun Street 81, Yishun, S(768454)",Secondary,811,
,,,,,
,,,,,
Casuarina Primary School,East,"30 Pasir Ris St 41, Pasir Ris, S(518935)",Primary,12;21;358,
Pei Tong Primary School,South,"15 Clementi Avenue 5, Clementi, S(129857)",Primary,7;184;282,
    tampines junior college,East,"2 Tampines Avenue 9, Tampines, S(529564)",Junior College,3;9;12;17;19;21;28;29;37;81;293;518,
Nan Hua High School,West,"41 Clementi Avenue 1, Clementi, S(129956)",Secondary,14;33;52;78;96;97;105;106;147;151;154;165;166;183;185;188;189;196;197;198;282;285;963,
Chij St. Joseph'S Convent,North,"62 Sengkang East Way, Seng Kang, S(548595)",Secondary,50;82;86;88;119;136,
,,,,,
,,,,,
Peiying Primary School,North,"651 Yishun Ring Road, Yishun, S(768687)",Primary,851;852;853;854;855,
,,,,,
Greenwood Primary School,North,"11 Woodlands  Dr  62, Woodlands, S(737942)",Primary,912;913;962,
Singapore Chinese Girls' School,North,"190 Dunearn Road, Novena, S(309437)",Secondary,48;66;67;105;132;151;153;154;156;170;171;186;190;700;700A;960;971E;972,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
