school_name,area,address,level,bus,AddmissionLast Date
Concord Primary School,West,"3 Choa Chu Kang Ave 4, Choa Chu Kang, S(689814)",Primary,300,
Nus High School Of Mathematics And Science,West,"20 Clementi Avenue 1, Clementi, S(129957)",Mixed Level,96;97;151;183;188;196;197;198,
Anglican High School,East,"600 Upper Changi Road, Bedok, S(487012)",Secondary,2;9;12;14;24;31;35;38;45;47;48,
,,,,,
,,,,,
,,,,,
Tanglin Secondary School,West,"301 West Coast Road, Clementi, S(127391)",Secondary,30;51;78;285;143;176,
,,,,,
Yew Tee Primary School,West,"10 Choa Chu Kang St 64, Choa Chu Kang, S(689100)",Primary,307,
,,,,,
    palm view primary school,North,"150 Compassvale Bow, Seng Kang, S(544822)",Primary,27;43;109;156;159;161;163;163M;550,
TECK WHYE PRIMARY SCHOOL,West,"11 Teck Whye Walk, Choa Chu Kang, S(688261)",Primary,975;190;985,
,,,,,
,,,,,
Anglo-Chinese School (Primary),South,"50 Barker Road, Novena, S(309918)",Primary,48;66;67;170;171;603;700,
,,,,,
Bukit Batok Secondary School,West,"50 Bukit Batok West Ave 8, Bukit Batok, S(658962)",Secondary,66;157;174;174E;178;188;506;941,
Dunman High School,East,"10 Tanjong Rhu Road, Kallang, S(436895)",Mixed Level,12;14;30;158;196,
,,,,,
,,,,,
Changkat Changi Secondary School,East,"23 Simei St 3, Tampines, S(529894)",Secondary,5;9;20;38,
MAYFLOWER SECONDARY SCHOOL,South,"2 Ang Mo Kio Street 21, Ang Mo Kio, S(569384)",Secondary,76;132;165;166;169;262;265;268,
,,,,,
,,,,,
,,,,,
St. Anthony'S Canossian Secondary School,East,"1600 Bedok North Avenue 4, Bedok, S(469700)",Secondary,17,
,,,,,
Woodlands Primary School,North,"10 Woodlands Drive 50, Woodlands, S(738853)",Primary,912;912E,
Fern Green Primary School,East,"70 Fernvale Link, Seng Kang, S(797538)",Primary,85;102,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Farrer Park Primary School,South,"2 Farrer Park Road, Kallang, S(217567)",Primary,131,
,,,,,
Chij Our Lady Of The Nativity,South,"1257 Upper Serangoon Road, Hougang, S(534793)",Primary,74;136;147;102;112;113;119,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Unity Primary School,West,"21 Choa Chu Kang Crescent, Choa Chu Kang, S(688268)",Primary,302,
,,,,,
,,,,,
STAMFORD PRIMARY SCHOOL,North,"1 Fernvale Lane, Seng Kang, S(797701)",Primary,163;70;86;103;854,
Northlight School,South,"151 Towner Road, Marine Parade, S(327830)",Secondary,21;125;130;139;145;13;23;31;64;65;133;147;857;985,
,,,,,
Kent Ridge Secondary School,South,"147 West Coast Road, Clementi, S(127368)",Secondary,30;51;143;175;176;201;282,
TAMPINES SECONDARY SCHOOL,East,"252 Tampines St 12, Tampines, S(529427)",Secondary,3;8;15;17;18;20;21;27;28;34;39;59;168;292;518,
Evergreen Primary School,North,"31 Woodlands Circle, Woodlands, S(738908)",Primary,913;911;858,
,,,,,
,,,,,
,,,,,
,,,,,
Woodgrove Primary School,North,"2 Woodlands Drive 14, Woodlands, S(738079)",Primary,901,
,,,,,
,,,,,
,,,,,
,,,,,
Shuqun Secondary School,West,"450 Jurong East Street 21, Jurong East, S(609604)",Secondary,52;98;99;105;160;176;183;187;333;334;502;506,
Unity Secondary School,West,"20 Choa Chu Kang Street 62, Choa Chu Kang, S(689143)",Secondary,307,
Kranji Secondary School,West,"38 Teck Whye Crescent, Choa Chu Kang, S(688945)",Secondary,190;985;975,
Pei Hwa Presbyterian Primary School,West,"7 Pei Wah Avenue, Bukit Timah, S(597610)",Primary,970;852;174;173;157;77;61,
,,,,,
,,,,,
